family,x,y,count
P1,0.27,0.47,1403949
P1,0.27,0.48,1070492
P1,0.27,0.33,6382374
P1,0.27,0.32,388603
P1,0.27,0.30,6370077
P1,0.27,0.31,1311855
P1,0.27,0.43,7525323
P1,0.27,0.44,1378250
P1,0.27,0.34,1724336
P1,0.27,0.49,5136777
P1,0.27,0.46,6650607
P1,0.27,0.45,1145816
P1,0.27,0.42,1085277
P1,0.27,0.41,1528362
P1,0.27,0.40,8444702
P1,0.28,0.48,1058525
P1,0.28,0.49,5170622
P1,0.28,0.33,6392063
P1,0.28,0.34,1733820
P1,0.28,0.30,6361044
P1,0.28,0.31,1319196
P1,0.28,0.46,6495479
P1,0.28,0.47,1369564
P1,0.28,0.32,394802
P1,0.28,0.44,1375519
P1,0.28,0.45,1128377
P1,0.28,0.43,7556506
P1,0.28,0.42,1080953
P1,0.28,0.41,1284757
P1,0.28,0.40,7219292
P1,0.27,0.35,888449
P1,0.27,0.36,5922830
P1,0.28,0.35,901189
P1,0.28,0.36,5903653
P1,0.27,0.38,1183137
P1,0.27,0.39,1500704
P1,0.27,0.37,2599806
P1,0.28,0.37,2597962
P1,0.28,0.38,1199352
P1,0.28,0.39,1337829
P1,0.27,0.58,430877
P1,0.27,0.59,426594
P1,0.27,0.52,717238
P1,0.27,0.53,728892
P1,0.27,0.55,444898
P1,0.27,0.56,433744
P1,0.27,0.54,655623
P1,0.27,0.60,421042
P1,0.27,0.61,394204
P1,0.27,0.57,438280
P1,0.27,0.62,119998
P1,0.27,0.51,615186
P1,0.28,0.61,397729
P1,0.28,0.62,118909
P1,0.28,0.60,426836
P1,0.28,0.55,441493
P1,0.28,0.56,437596
P1,0.28,0.53,720459
P1,0.28,0.54,632543
P1,0.28,0.57,431667
P1,0.28,0.58,425585
P1,0.28,0.59,428014
P1,0.28,0.51,604911
P1,0.28,0.52,713301
P1,0.27,0.50,1088044
P1,0.28,0.50,1084528
P1,0.27,0.68,347764
P1,0.27,0.69,352311
P1,0.27,0.71,348120
P1,0.27,0.72,342898
P1,0.27,0.65,367574
P1,0.27,0.66,370782
P1,0.27,0.70,350346
P1,0.27,0.74,342312
P1,0.27,0.75,346048
P1,0.27,0.76,427983
P1,0.27,0.73,341204
P1,0.27,0.67,361072
P1,0.27,0.64,362631
P1,0.27,0.63,181158
P1,0.28,0.66,359058
P1,0.28,0.67,361277
P1,0.28,0.64,371924
P1,0.28,0.65,361199
P1,0.28,0.73,342152
P1,0.28,0.74,341849
P1,0.28,0.71,343838
P1,0.28,0.72,343167
P1,0.28,0.70,354658
P1,0.28,0.68,351846
P1,0.28,0.69,350310
P1,0.28,0.75,339942
P1,0.28,0.63,182819
P1,0.28,0.76,312644
P1,0.27,0.78,286079
P1,0.27,0.79,718120
P1,0.26,0.79,369752
P1,0.27,0.77,430835
P1,0.26,0.80,161917
P1,0.25,0.80,94702
P1,0.25,0.79,239043
P1,0.24,0.79,37202
P1,0.24,0.78,1234
P1,0.28,0.78,123769
P1,0.28,0.77,285074
P1,0.28,0.79,73172
P1,0.29,0.30,48723
P1,0.29,0.31,1405
P1,0.29,0.37,1433
P1,0.29,0.38,2682
P1,0.29,0.39,6606
P1,0.29,0.32,867
P1,0.29,0.33,36324
P1,0.29,0.34,1121
P1,0.29,0.41,3731
P1,0.29,0.42,257
P1,0.29,0.40,25768
P1,0.29,0.35,587
P1,0.29,0.36,32212
P1,0.29,0.43,23234
P1,0.29,0.44,3406
P1,0.29,0.45,63
P1,0.29,0.46,22224
P1,0.29,0.47,3122
P1,0.29,0.48,564
P1,0.29,0.49,17024
P1,0.29,0.50,2483
P1,0.29,0.52,2290
P1,0.29,0.51,1314
P1,0.29,0.54,3452
P1,0.29,0.55,1283
P1,0.29,0.53,141
P1,0.24,0.80,4435
P1,0.27,0.80,7136
P1,0.26,0.81,608
P1,0.25,0.81,5254
P1,0.24,0.81,1890
P2,-0.02,0.39,5762
P2,-0.01,0.39,6508
P2,-0.01,0.38,6371
P2,-0.20,0.89,1370
P2,-0.03,0.28,8786
P2,-0.02,0.28,9134
P2,-0.02,0.29,7946
P2,-0.01,0.28,8428
P2,0.24,0.28,4157
P2,0.23,0.28,2166
P2,-0.20,0.55,1078
P2,-0.19,0.55,456
P2,0.15,0.50,7969
P2,0.15,0.51,7941
P2,0.16,0.52,21612
P2,0.16,0.53,14184
P2,0.17,0.54,1435733
P2,0.17,0.55,22438637
P2,0.13,0.66,124158
P2,0.14,0.48,6586
P2,0.14,0.49,5985
P2,0.13,0.44,53442
P2,0.14,0.44,203019
P2,-0.18,0.76,1054
P2,-0.17,0.76,1104
P2,0.04,0.46,4452
P2,0.04,0.47,3357
P2,0.05,0.46,4591
P2,-0.04,0.31,6815
P2,-0.05,0.31,7159
P2,-0.05,0.32,6122
P2,-0.06,0.31,5951
P2,0.11,0.39,3130
P2,0.11,0.40,5220
P2,0.12,0.40,12454
P2,0.12,0.41,29163
P2,0.12,0.42,4223
P2,0.13,0.42,1838
P2,0.13,0.43,1446
P2,-0.24,0.62,3605
P2,0.15,0.60,13028
P2,0.15,0.59,21066
P2,0.16,0.58,25195
P2,0.16,0.57,54235
P2,0.17,0.56,53243
P2,-0.24,0.70,2696
P2,-0.23,0.70,3240
P2,-0.23,0.69,3495
P2,0.11,0.41,263101
P2,0.11,0.42,19159
P2,0.12,0.43,6883
P2,0.12,0.44,7905
P2,0.12,0.45,43010
P2,0.13,0.45,144441
P2,0.06,0.89,10053
P2,0.05,0.89,4379
P2,0.17,0.57,12359
P2,-0.16,0.73,738
P2,-0.16,0.74,1039
P2,-0.17,0.74,696
P2,-0.18,0.73,1168
P2,0.03,0.45,4980
P2,0.04,0.45,4130
P2,-0.24,0.64,2559
P2,-0.24,0.65,2031
P2,-0.23,0.65,2505
P2,-0.23,0.64,3404
P2,-0.05,0.20,7110
P2,-0.06,0.20,6964
P2,-0.07,0.20,7100
P2,0.04,0.35,5592
P2,0.04,0.36,5678
P2,0.03,0.36,5181
P2,0.03,0.35,5441
P2,-0.24,0.52,2709
P2,-0.09,0.29,5071
P2,-0.10,0.29,3874
P2,-0.24,0.58,3082
P2,-0.23,0.58,3270
P2,0.11,0.70,1217
P2,0.12,0.70,25852
P2,0.12,0.69,87706
P2,0.12,0.68,8485
P2,0.12,0.67,1734
P2,0.13,0.67,1046
P2,-0.03,0.68,10467
P2,-0.03,0.69,2090
P2,0.16,0.60,4848
P2,0.16,0.59,11259
P2,0.13,0.46,11338
P2,-0.17,1.33,511
P2,-0.18,1.33,429
P2,-0.19,1.33,566
P2,0.10,0.40,7757
P2,0.11,0.43,2965
P2,-0.06,1.10,353
P2,-0.07,1.10,230
P2,-0.07,1.09,356
P2,0.22,0.65,8057
P2,-0.10,0.35,3266
P2,-0.10,0.36,3842
P2,-0.09,0.35,4661
P2,0.17,0.66,40959
P2,-0.20,0.85,1293
P2,-0.20,0.86,1300
P2,-0.19,0.86,1472
P2,-0.19,0.85,1305
P2,-0.18,0.85,1153
P2,0.01,0.84,1460
P2,0.01,0.85,1299
P2,0.00,0.85,1151
P2,0.00,0.84,1854
P2,0.03,0.27,8708
P2,0.02,0.27,9768
P2,0.02,0.26,9654
P2,-0.12,0.36,2841
P2,-0.13,0.36,2136
P2,-0.13,0.37,2066
P2,-0.14,0.37,1442
P2,-0.14,0.36,1518
P2,0.10,0.37,105256
P2,0.10,0.38,14432
P2,0.10,0.39,9725
P2,0.09,0.93,2240
P2,0.08,0.93,2089
P2,0.07,0.93,1849
P2,0.03,0.75,1750
P2,0.04,0.75,30184
P2,0.04,0.76,1927
P2,0.04,0.72,763
P2,0.05,0.72,871
P2,0.05,0.71,1673
P2,0.06,0.72,955
P2,0.06,0.71,91837
P2,0.07,0.71,86850
P2,0.08,0.71,11042
P2,0.09,0.71,2756
P2,0.10,0.71,1278
P2,0.11,0.71,977
P2,0.07,0.29,5614
P2,0.07,0.30,5057
P2,0.08,0.30,4364
P2,0.08,0.29,4530
P2,0.16,0.54,5670
P2,0.09,0.72,28861
P2,0.10,0.72,13358
P2,0.17,0.58,5022
