family,x,y,count
P1,0.27,0.47,280311
P1,0.27,0.48,212771
P1,0.27,0.33,820211
P1,0.27,0.32,77885
P1,0.27,0.30,782833
P1,0.27,0.31,262694
P1,0.27,0.43,1188816
P1,0.27,0.44,273905
P1,0.27,0.34,343179
P1,0.27,0.49,797993
P1,0.27,0.46,1057141
P1,0.27,0.45,226087
P1,0.27,0.42,219023
P1,0.27,0.41,305102
P1,0.27,0.40,1278406
P1,0.28,0.48,212298
P1,0.28,0.49,802940
P1,0.28,0.33,824275
P1,0.28,0.34,345785
P1,0.28,0.30,787571
P1,0.28,0.31,264431
P1,0.28,0.46,1025229
P1,0.28,0.47,273659
P1,0.28,0.32,79427
P1,0.28,0.44,275553
P1,0.28,0.45,225595
P1,0.28,0.43,1189250
P1,0.28,0.42,217451
P1,0.28,0.41,254987
P1,0.28,0.40,1137594
P1,0.27,0.35,175589
P1,0.27,0.36,775092
P1,0.28,0.35,180698
P1,0.28,0.36,770828
P1,0.27,0.38,234769
P1,0.27,0.39,215126
P1,0.27,0.37,521090
P1,0.28,0.37,518431
P1,0.28,0.38,241127
P1,0.28,0.39,206075
P1,0.27,0.58,84157
P1,0.27,0.59,87108
P1,0.27,0.52,144307
P1,0.27,0.53,145226
P1,0.27,0.55,88441
P1,0.27,0.56,85799
P1,0.27,0.54,129421
P1,0.27,0.60,88657
P1,0.27,0.61,80732
P1,0.27,0.57,86746
P1,0.27,0.62,23675
P1,0.27,0.51,124909
P1,0.28,0.61,80412
P1,0.28,0.62,23024
P1,0.28,0.60,85417
P1,0.28,0.55,89216
P1,0.28,0.56,88009
P1,0.28,0.53,142817
P1,0.28,0.54,125650
P1,0.28,0.57,85966
P1,0.28,0.58,84197
P1,0.28,0.59,86053
P1,0.28,0.51,123213
P1,0.28,0.52,144491
P1,0.27,0.50,216773
P1,0.28,0.50,217824
P1,0.27,0.68,70273
P1,0.27,0.69,69106
P1,0.27,0.71,68336
P1,0.27,0.72,68711
P1,0.27,0.65,76130
P1,0.27,0.66,75232
P1,0.27,0.70,67119
P1,0.27,0.74,65646
P1,0.27,0.75,69466
P1,0.27,0.76,83194
P1,0.27,0.73,68416
P1,0.27,0.67,73345
P1,0.27,0.64,73635
P1,0.27,0.63,37111
P1,0.28,0.66,70682
P1,0.28,0.67,73437
P1,0.28,0.64,72898
P1,0.28,0.65,70080
P1,0.28,0.73,69655
P1,0.28,0.74,69630
P1,0.28,0.71,71139
P1,0.28,0.72,67814
P1,0.28,0.70,68669
P1,0.28,0.68,71228
P1,0.28,0.69,69142
P1,0.28,0.75,70282
P1,0.28,0.63,35969
P1,0.28,0.76,63803
P1,0.27,0.78,58180
P1,0.27,0.79,146130
P1,0.26,0.79,73580
P1,0.27,0.77,86499
P1,0.26,0.80,32203
P1,0.25,0.80,19047
P1,0.25,0.79,47339
P1,0.24,0.79,7400
P1,0.24,0.78,233
P1,0.28,0.78,25207
P1,0.28,0.77,57891
P1,0.28,0.79,14761
P1,0.29,0.30,2634
P1,0.29,0.31,306
P1,0.29,0.37,179
P1,0.29,0.38,590
P1,0.29,0.39,631
P1,0.29,0.32,224
P1,0.29,0.33,1550
P1,0.29,0.41,870
P1,0.29,0.42,78
P1,0.29,0.40,1059
P1,0.29,0.34,100
P1,0.29,0.35,42
P1,0.29,0.36,1338
P1,0.29,0.43,709
P1,0.29,0.44,603
P1,0.29,0.45,18
P1,0.29,0.46,1219
P1,0.29,0.47,644
P1,0.29,0.48,119
P1,0.29,0.49,1287
P1,0.29,0.52,534
P1,0.29,0.51,277
P1,0.29,0.50,332
P1,0.29,0.54,455
P1,0.29,0.55,154
P1,0.29,0.53,20
P1,0.24,0.80,908
P1,0.27,0.80,1486
P1,0.26,0.81,133
P1,0.25,0.81,1020
P1,0.24,0.81,329
P2,-0.02,0.39,1015
P2,-0.01,0.39,1416
P2,-0.01,0.38,1386
P2,-0.20,0.89,262
P2,-0.03,0.28,2059
P2,-0.02,0.28,1726
P2,-0.02,0.29,1645
P2,-0.01,0.28,1966
P2,0.24,0.28,964
P2,0.23,0.28,565
P2,-0.20,0.55,289
P2,-0.19,0.55,142
P2,0.15,0.50,1605
P2,0.15,0.51,1570
P2,0.16,0.52,4183
P2,0.16,0.53,2854
P2,0.17,0.54,286118
P2,0.17,0.55,4489604
P2,0.13,0.66,27398
P2,0.14,0.48,1228
P2,0.14,0.49,1172
P2,0.13,0.44,10234
P2,0.14,0.44,38280
P2,-0.18,0.76,231
P2,-0.17,0.76,311
P2,0.04,0.46,1186
P2,0.04,0.47,809
P2,0.05,0.46,1039
P2,-0.04,0.31,1522
P2,-0.05,0.31,1203
P2,-0.05,0.32,1223
P2,-0.06,0.31,1254
P2,0.11,0.39,485
P2,0.11,0.40,1006
P2,0.12,0.40,1924
P2,0.12,0.41,5489
